place,country
Mont Saint Michel,France
St Malo,France
Bayeux,France
Le Havre,France
Rouen,France
Paris,France
Amiens,France
Lille,France
Strasbourg,France
Chateau du Haut Koenigsbourg,France
Colmar,France
Eguisheim,France
Besancon,France
Dijon,France
Annecy,France
Grenoble,France
Lyon,France
Gorges du Verdon,France
Bormes les Mimosas,France
Cassis,France
Marseille,France
Aix en Provence,France
Avignon,France
Uzes,France
Nimes,France
Aigues Mortes,France
Saintes Maries de la mer,France
Collioure,France
Carcassonne,France
Ariege,France
Toulouse,France
Montauban,France
Biarritz,France
Bayonne,France
La Rochelle,France
